	Name	Shape	Length	Width	Diameter	Subspecies	File #	Notes	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
56	Methanoculleus bourgensis	spherical	1.0-2.0	1.0-2.0		No	9		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
57	Methanoculleus marisnigri	spherical	1.3	1.3		No	9		1.3	1.3	1.3	1.3	1.1503465099894628	5.3092915845667505	1.1503465099894628	5.3092915845667505	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]	[1.3, 1.3]
58	Methanoculleus oldenburgensis	spherical	0.5-1.5	0.5-1.5		No	9		0.8660254037844387	0.8660254037844387	1.0	1.0	0.34008738079391587	2.3561944901923453	0.5235987755982988	3.141592653589793	[0.5, 1.5]	[0.5, 1.5]	[0.5, 1.5]	[0.5, 1.5]
59	Methanoculleus olentangyi	spherical	0.5-2.0	0.5-2.0		No	9		1.0	1.0	1.25	1.25	0.5235987755982988	3.141592653589793	1.0226538585904275	4.908738521234052	[0.5, 2.0]	[0.5, 2.0]	[0.5, 2.0]	[0.5, 2.0]
60	Methanoculleus palmolei	spherical	1.25-2.0	1.25-2.0		No	9		1.5811388300841898	1.5811388300841898	1.625	1.625	2.0697058887075217	7.853981633974484	2.246770527323169	8.295768100885548	[1.25, 2.0]	[1.25, 2.0]	[1.25, 2.0]	[1.25, 2.0]
61	Methanoculleus thermophilicus	spherical	1.0-1.3	1.0-1.3		No	9		1.140175425099138	1.140175425099138	1.15	1.15	0.7760927935139323	4.084070449666731	0.7963282878380625	4.1547562843725006	[1.0, 1.3]	[1.0, 1.3]	[1.0, 1.3]	[1.0, 1.3]
62	Methanofollis tationis	spherical	1.5-3	1.5-3		No	9		2.121320343559643	2.121320343559643	2.25	2.25	4.998243305428163	14.137166941154073	5.964117303299373	15.904312808798327	[1.5, 3.0]	[1.5, 3.0]	[1.5, 3.0]	[1.5, 3.0]
63	Methanofollis liminatans	spherical	1.25-2.0	1.25-2.0		No	9		1.5811388300841898	1.5811388300841898	1.625	1.625	2.0697058887075217	7.853981633974484	2.246770527323169	8.295768100885548	[1.25, 2.0]	[1.25, 2.0]	[1.25, 2.0]	[1.25, 2.0]
64	Methanogenium cariaci	spherical	2.6	2.6		No	9		2.6	2.6	2.6	2.6	9.202772079915702	21.237166338267002	9.202772079915702	21.237166338267002	[2.6, 2.6]	[2.6, 2.6]	[2.6, 2.6]	[2.6, 2.6]
65	Methanogenium frigidum	spherical	1.2-2.5	1.2-2.5		No	9		1.7320508075688774	1.7320508075688774	1.85	1.85	2.720699046351327	9.424777960769381	3.3152310975475796	10.752100856911067	[1.2, 2.5]	[1.2, 2.5]	[1.2, 2.5]	[1.2, 2.5]
