	Length	taxID	Name	Width	shape	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
67	0.8 - 1	167375	Cyanobium	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
69	0.8	180281	Cyanobium sp.	0.8	sphere/spheroid	0.8	0.8	0.8	0.8	0.26808257310632905	2.0106192982974678	0.26808257310632905	2.0106192982974678	[0.8, 0.8]	[0.8, 0.8]	[0.8, 0.8]	[0.8, 0.8]
70	1.2 - 1.5	32049	Synechococcus sp.	1.2 - 1.5	sphere/spheroid	1.3416407864998738	1.3416407864998738	1.35	1.35	1.2644666515873306	5.654866776461628	1.2882493375126647	5.725552611167398	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]	[1.2, 1.5]
71	1.8 - 2	1129	Synechococcus	1.8 - 2	sphere/spheroid	1.8973665961010278	1.8973665961010278	1.9	1.9	3.576451775686597	11.309733552923257	3.5913640018287314	11.341149479459153	[1.8, 2.0]	[1.8, 2.0]	[1.8, 2.0]	[1.8, 2.0]
72	3 - 3.5	267870	Microcystis aeruginosa PCC 7005	3 - 3.5	sphere/spheroid	3.2403703492039306	3.2403703492039306	3.25	3.25	17.814866446946212	32.98672286269284	17.97416421858535	33.18307240354219	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
73	9 - 10	102231	Gloeocapsa	9 - 10	sphere/spheroid	9.486832980505138	9.486832980505138	9.5	9.5	447.0564719608245	282.7433388230814	448.92050022859144	283.5287369864788	[9.0, 10.0]	[9.0, 10.0]	[9.0, 10.0]	[9.0, 10.0]
75	0.8 - 1	167375	Cyanobium	0.8 - 1	sphere/spheroid	0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
79	1 - 1.5	47251	Leptolyngbya	1 - 1.5	sphere/spheroid	1.224744871391589	1.224744871391589	1.25	1.25	0.9619123726213977	4.712388980384689	1.0226538585904275	4.908738521234052	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]
80	2 - 2.5	2862350	Baaleninema simplex	2 - 2.5	sphere/spheroid	2.23606797749979	2.23606797749979	2.25	2.25	5.854012275867273	15.707963267948967	5.964117303299373	15.904312808798327	[2.0, 2.5]	[2.0, 2.5]	[2.0, 2.5]	[2.0, 2.5]
83	5 -6	28070	Gloeothece	5 -6	sphere/spheroid	5.47722557505166	5.47722557505166	5.5	5.5	86.03605814318209	94.24777960769376	87.11374629016697	95.03317777109123	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]	[5.0, 6.0]
