taxid	length	width	volume	surface	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid278082	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria	order	G001603055	4951698.0	67.26	4115.0	92.00389442167109	1.0	-0.13271431243030402	0.0495068124163119
txid292629	100.00000000000004	0.30476168981692753	7.287045259642578	95.743708582447	Anaerolineales	Anaerolineae	Chloroflexi	Bacteria	order	N2951	3510630.0	52.82	2808.0	90.50957053611909	1.0	-0.12077235486756699	0.0547794097266733
txid307595	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria	order	N316	4691905.0	61.269999999999996	4498.0	89.64180904557143	1.0	-0.14437606589248902	0.06322768182986921
txid332160	1.05	0.65	0.2765256033628516	2.144136986075034	Bryobacterales	Acidobacteriia	Acidobacteria	Bacteria	order	N3464	6692160.0	57.95	5785.0	91.47708526497044	2.0	-0.0955959632153192	0.0418820699374445
txid362534	2.022853836677498	0.5334119473886841	0.40226808270492026	3.389823725681576	Kordiimonadales	Alphaproteobacteria	Proteobacteria	Bacteria	order	G000375545	4082245.0	57.51	3724.0	91.3758238420281	1.0	-0.547640454933906	0.20415056358942898
txid388448	1.4142135623730951	0.8366600265340756	0.6241785562578653	3.717182556927369	Ktedonobacterales	Ktedonobacteria	Chloroflexi	Bacteria	order	N1536	2731964.0	53.495000000000005	2555.0	86.73716660056189	0.0	-0.06803807239956705	0.02810967770899865
txid414714	1.440195172070992	0.6471915127526414	0.3822174209267934	2.9282222529949826	Catenulisporales	Actinomycetia	Actinobacteria	Bacteria	order	N4361	10193334.5	70.015	8816.0	88.07203046477207	3.5	-0.310951015059547	0.10090322580146355
txid415000	0.6251506518108881	0.6251506518108881	0.12792419340073338	1.2277763098879202	Opitutales	Opitutae	Verrucomicrobia	Bacteria	order	N2445	5671497.0	63.03	4672.0	88.94922976518377	1.0	-0.359633177439234	0.12025950389432
txid415001	0.9329199906264262	0.8362150777608833	0.3526734904727329	2.4508247979955	Puniceicoccales	Opitutae	Verrucomicrobia	Bacteria	order	N2446	1839891.0	43.68	1711.0	90.31703081846372	1.0	-0.205833699567929	0.10430035426713001
txid475963	100.00000000000004	0.5	19.60222916146132	157.0796326794897	Caldilineales	Caldilineae	Chloroflexi	Bacteria	order	G000281175	5144873.0	58.77	4162.0	89.67329222703844	2.0	-0.0310313105294919	0.00846820969035411
txid485256	3.831547161967765	0.4188859364120028	0.5050848500678834	5.042197212564458	Natranaerobiales	Clostridia	Firmicutes	Bacteria	order	G000020005	3191453.0	36.31	2981.0	87.40492183340942	4.0	-0.044081772614212006	0.0220028633946977
txid510684	0.85	0.25	0.037633661996127735	0.667588438887831	Sneathiellales	Alphaproteobacteria	Proteobacteria	Bacteria	order	G000616095	3629390.0	46.94	3852.0	90.83592559631231	1.0	-0.41493843836209404	0.16681819502515802
txid570264	1.9078784028338915	0.5291502622129179	0.38077563408368215	3.1716085517589128	Methanocellales	Methanomicrobia	Euryarchaeota	Archaea	order	N374	2957635.0	54.6	3055.0	87.40571436299611	2.0	-0.290871198974759	0.11497955736225698
txid574975	1.565084580073287	0.2432299279097788	0.06764483107828849	1.1959270701511662	Holophagales	Holophagae	Acidobacteria	Bacteria	order	N1380	3289813.0	63.06	2925.0	91.21585330230015	1.0	-0.269405807315648	0.0984318572666532
txid596497	2.25	0.4	0.2659881780039359	2.827433388230814	Nitriliruptorales	Nitriliruptoria	Actinobacteria	Bacteria	order	G000969705	5558097.0	72.06	5218.0	91.08646358636778	1.0	-0.170253931014507	0.0636652139653551
txid622450	1.45	0.55	0.3009383962751223	2.5054201412378596	Actinopolysporales	Actinomycetia	Actinobacteria	Bacteria	order	N5069	5353291.0	68.76	4831.0	84.63076264675318	5.0	-0.233359679083445	0.0777466729890131
txid622452	1.239665540532398	1.0358989814322277	0.7399386858598059	4.034333605374323	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria	order	N3314	4956672.0	74.25	4708.0	89.89565541824898	2.0	-0.25833785337251103	0.09113112879478599
txid649776	2.970510194290134	0.7142571613250063	1.0701338315016036	6.665542828398363	Synergistales	Synergistia	Synergistetes	Bacteria	order	N95	1990119.0	55.900000000000006	1942.5	92.00335818143127	1.0	-0.107198278715145	0.04406435559817785
txid693072	4.95	0.3	0.3428262983229862	4.665265090580842	Caldisericales	Caldisericia	Caldiserica	Bacteria	order	N59	1389820.0	35.465	1410.5	91.60068928165714	0.5	-0.045231886197455995	0.02709796424621575
txid742030	1.2365396592744562	0.5594122904254923	0.2554534116414067	2.1731511116097613	Salinisphaerales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N4608	4021322.0	62.614999999999995	3685.0	88.66506871887763	1.0	-0.184765687007565	0.0786231164028828
txid768507	2.5609480522712165	0.5874405036180578	0.6293703384433579	4.726226482005185	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	order	N4896	5120376.0	42.82	4407.0	88.65530254536385	1.0	-0.41541865092185104	0.179744230605875
txid768667	1.4142135623730951	0.8660254037844386	0.6629968605077357	3.847649490485592	Thermogemmatisporales	Ktedonobacteria	Chloroflexi	Bacteria	order	N1535	5582230.5	61.010000000000005	4454.5	82.69270202362199	2.0	-0.059957481932985446	0.02372918268474155
