Taxon	Count	Consistency
f__Labilitrichaceae	1	1.000
f__Vulgatibacteraceae	1	1.000
f__Veillonellaceae	25	1.000
f__Deinococcaceae	21	1.000
f__Chitinispirillaceae	1	1.000
f__Steroidobacteraceae	1	1.000
f__Petrotogaceae	6	0.857
f__Shewanellaceae	24	1.000
f__Thermoproteaceae	31	1.000
f__Chroococcidiopsidaceae	2	0.500
f__Methanothermaceae	1	1.000
f__Brevinemataceae	1	1.000
f__Thermodesulfobiaceae	1	1.000
f__Mycobacteriaceae	62	0.984
f__Maricaulaceae	6	1.000
f__Nitrospinaceae	6	1.000
f__Kiritimatiellaceae	1	1.000
f__Oceanospirillaceae	39	0.744
f__Halothiobacillaceae	2	1.000
f__Aphanothecaceae	16	0.750
f__Brevibacteriaceae	7	1.000
f__Kytococcaceae	1	1.000
f__Opitutaceae	6	0.833
f__Sporomusaceae	11	1.000
f__Thermonemataceae	1	1.000
f__Acidobacteriaceae	18	1.000
f__Patulibacteraceae	3	1.000
f__Desulfuromonadaceae	9	0.462
f__Alteromonadaceae	44	0.848
f__Kofleriaceae	1	1.000
f__Nostocaceae	17	0.452
f__Candidatus Competibacteraceae	2	1.000
f__Nakamurellaceae	2	1.000
f__Reyranellaceae	1	1.000
f__Ktedonobacteraceae	6	1.000
f__Lewinellaceae	4	1.000
f__Thermofilaceae	4	1.000
f__Chitinophagaceae	44	0.977
f__Prochloraceae	3	1.000
f__Nitratiruptoraceae	1	1.000
f__Sporolactobacillaceae	6	0.833
f__Elioraeaceae	1	1.000
f__Oscillatoriaceae	9	0.333
f__Acidaminococcaceae	12	1.000
f__Stigonemataceae	1	1.000
f__Hahellaceae	3	0.667
f__Pirellulaceae	16	1.000
f__Trueperaceae	1	1.000
f__Elusimicrobiaceae	1	1.000
f__Neomegalonemataceae	1	1.000
f__Robiginitomaculaceae	2	1.000
f__Schleiferiaceae	2	0.500
f__Gracilibacteraceae	1	1.000
f__Lawsonellaceae	2	1.000
f__Thermithiobacillaceae	1	1.000
f__Methylophilaceae	12	1.000
f__Persicobacteraceae	1	1.000
f__Bartonellaceae	60	1.000
f__Chthoniobacteraceae	1	1.000
f__Syntrophorhabdaceae	1	1.000
f__Aquificaceae	7	1.000
f__Ahrensiaceae	4	0.750
f__Selenomonadaceae	25	1.000
f__Desulfovibrionaceae	45	1.000
f__Fibromonadaceae	1	1.000
f__Thorselliaceae	1	1.000
f__Promicromonosporaceae	6	0.750
f__Micromonosporaceae	23	0.913
f__Carnobacteriaceae	31	0.710
f__Gloeomargaritaceae	1	1.000
f__Hyphomonadaceae	13	1.000
f__Symbiobacteriaceae	1	1.000
f__Deferribacteraceae	6	1.000
f__Terasakiellaceae	2	1.000
f__Halococcaceae	7	1.000
f__Methanopyraceae	1	1.000
f__Segniliparaceae	2	1.000
f__Thermoplasmataceae	2	1.000
f__Ferrimonadaceae	4	1.000
f__Caedimonadaceae	1	1.000
f__Peptoniphilaceae	28	0.903
f__Frankiaceae	9	0.889
f__Cellvibrionaceae	22	1.000
f__Colwelliaceae	10	1.000
f__Microcystaceae	21	1.000
f__Dictyoglomaceae	2	1.000
f__Actinopolysporaceae	3	1.000
f__Acidilobaceae	5	1.000
f__Enterobacteriaceae	59	0.644
f__Rubrobacteraceae	3	1.000
f__Hafniaceae	3	1.000
f__Chrysiogenaceae	2	1.000
f__Neisseriaceae	28	0.929
f__Helicobacteraceae	34	0.941
f__Fastidiosibacteraceae	1	1.000
f__Syntrophaceae	13	0.769
f__Lachnospiraceae	188	0.790
f__Planctomycetaceae	9	0.778
f__Holophagaceae	2	1.000
f__Thiobacillaceae	3	1.000
f__Methylocystaceae	7	0.714
f__Micropepsaceae	1	1.000
f__Holosporaceae	3	0.667
f__Pseudoxanthobacteraceae	1	1.000
f__Ruaniaceae	2	1.000
f__Rhodanobacteraceae	18	0.944
f__Endozoicomonadaceae	4	1.000
f__Borreliaceae	43	1.000
f__Devosiaceae	14	1.000
f__Acholeplasmataceae	20	0.950
f__Vibrionaceae	66	1.000
f__Williamwhitmaniaceae	1	1.000
f__Prochlorotrichaceae	2	0.500
f__Chelatococcaceae	1	1.000
f__Sulfolobaceae	94	1.000
f__Parvularculaceae	2	1.000
f__Pyrinomonadaceae	1	1.000
f__Saccharospirillaceae	3	1.000
f__Beutenbergiaceae	1	1.000
f__Tepidanaerobacteraceae	4	1.000
f__Herpetosiphonaceae	2	1.000
f__Chloroflexaceae	5	1.000
f__Yersiniaceae	46	0.938
f__Geminocystaceae	3	0.667
f__Methylacidiphilaceae	3	1.000
f__Campylobacteraceae	29	1.000
