Taxon	Count	Consistency
s__Synechococcus sp. KORDI-52	1	1.000
s__Collinsella stercoris	1	1.000
s__Marinobacter adhaerens	1	1.000
s__Tyzzerella nexilis	1	1.000
s__Rhodanobacter denitrificans	1	1.000
s__Thalassospira profundimaris	1	1.000
s__Candidatus Nomurabacteria bacterium RIFCSPHIGHO2_12_FULL_37_29	1	1.000
s__Gallionellales bacterium RIFOXYD12_FULL_53_10	1	1.000
s__Clostridioides mangenotii	1	1.000
s__Chromohalobacter salexigens	1	1.000
s__Crocinitomix catalasitica	1	1.000
s__Syntrophus sp. GWC2_56_31	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYB1_FULL_41_13	1	1.000
s__Vitreoscilla stercoraria	1	1.000
s__Porphyrobacter sp. AAP60	1	1.000
s__Negativicoccus massiliensis	1	1.000
s__Candidatus Sungbacteria bacterium RIFCSPLOWO2_01_FULL_59_16	1	1.000
s__Zavarzinella formosa	1	1.000
s__Candidatus Collierbacteria bacterium RIFCSPHIGHO2_02_FULL_49_10	1	1.000
s__Lachnobacterium bovis	1	1.000
s__Succinispira mobilis	1	1.000
s__bacteria symbiont BFo2 of Frankliniella occidentalis	2	1.000
s__Ewingella americana	1	1.000
s__Streptomyces sp. NRRL WC-3605	1	1.000
s__Candidatus Kryptobacter tengchongensis	3	1.000
s__Roseivirga seohaensis	2	1.000
s__Desulfurivibrio alkaliphilus	1	1.000
s__Methanospirillum hungatei	1	1.000
s__Streptomyces sp. SAT1	1	1.000
s__Leclercia adecarboxylata	1	1.000
s__Methanoculleus bourgensis	2	1.000
s__Planktothrix serta	1	1.000
s__Novispirillum itersonii	1	1.000
s__Geminocystis sp. NIES-3709	1	1.000
s__Enterocloster bolteae	1	1.000
s__Altibacter lentus	1	1.000
s__Listeria innocua	2	1.000
s__Morganella morganii	1	1.000
s__Mesorhizobium loti	1	1.000
s__Limosilactobacillus panis	1	1.000
s__Phycisphaerales bacterium Planc_01	1	1.000
s__Candidatus Nanosynbacter lyticus	1	1.000
s__Saccharospirillum impatiens	1	1.000
s__Tessaracoccus massiliensis	1	1.000
s__Chryseobacterium sp. Leaf394	1	1.000
s__Eggerthella sp. CAG:368	1	1.000
s__Eubacterium dolichum CAG:375	1	1.000
s__Pseudoalteromonas ruthenica	3	1.000
s__Salinarchaeum sp. Harcht-Bsk1	1	1.000
s__Salinarimonas rosea	1	1.000
s__Pontibacter sp. BAB1700	1	1.000
s__Sphaerotilus natans	1	1.000
s__Candidatus Moranbacteria bacterium RIFOXYB1_FULL_44_23	1	1.000
s__Thaumarchaeota archaeon CSP1-1	1	1.000
s__Bdellovibrionales bacterium GWA1_52_35	1	1.000
s__Desulfacinum infernum	1	1.000
s__Balneatrix alpica	1	1.000
s__Pseudomonas syringae group genomosp. 3	1	1.000
s__Natrinema pellirubrum	1	1.000
s__Flavimarina sp. Hel_I_48	1	1.000
s__Companilactobacillus kimchii	1	1.000
s__Lactobacillus gasseri	1	1.000
s__Coriobacteriaceae bacterium EMTCatB1	1	1.000
s__Methanolobus vulcani	1	1.000
s__Methanohalophilus sp. T328-1	1	1.000
s__Pseudozobellia thermophila	1	1.000
s__Ligilactobacillus salivarius	1	1.000
s__Leucothrix mucor	1	1.000
s__Thalassotalea sp. ND16A	1	1.000
s__Candidatus Caenarcanum bioreactoricola	1	1.000
s__Sedimentibacter sp. B4	1	1.000
s__Marinimicrobia bacterium 46_47	1	1.000
s__Marinimicrobia bacterium 46_43	1	1.000
s__Demequina mangrovi	1	1.000
s__Citreimonas salinaria	1	1.000
s__Caballeronia zhejiangensis	1	1.000
s__Caldivirga maquilingensis	1	1.000
s__Senegalimassilia anaerobia	1	1.000
s__Deltaproteobacteria bacterium GWC2_55_46	1	1.000
s__Streptomyces bingchenggensis	1	1.000
s__Vagococcus lutrae	1	1.000
s__Thalassobius taeanensis	1	1.000
s__Pararhizobium polonicum	1	1.000
s__Capnocytophaga canimorsus	1	1.000
s__Varibaculum cambriense	3	1.000
s__Conchiformibius kuhniae	1	1.000
s__Nigerium massiliense	1	1.000
s__Sulfurovum sp. FS08-3	1	1.000
s__Halomonas huangheensis	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_12_FULL_37_9b	1	1.000
s__Fischerella sp. PCC 9605	1	1.000
s__Firmicutes bacterium ASF500	1	1.000
s__Natronococcus occultus	1	1.000
s__candidate division CPR3 bacterium RIFOXYC2_FULL_35_7	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFOXYB1_FULL_40_23	1	1.000
s__Kordia zhangzhouensis	1	1.000
s__Salipiger mucosus	1	1.000
s__Tannerella forsythia	1	1.000
s__Synechococcus sp. PCC 8807	1	1.000
s__Silvimonas sp. JCM 19000	1	1.000
s__Desulfobacteraceae bacterium RAAP-1	1	1.000
s__Polynucleobacter asymbioticus	1	1.000
s__Rhodospirillales bacterium URHD0088	1	1.000
s__Brevibacterium casei	1	1.000
s__Limihaloglobus sulfuriphilus	1	1.000
s__Thermoplasmatales archaeon SM1-50	1	1.000
s__Solemya pervernicosa gill symbiont	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_02_FULL_45_40	1	1.000
s__Singulisphaera acidiphila	1	1.000
s__Lachnospiraceae bacterium AC2014	1	1.000
s__Aquaspirillum serpens	1	1.000
s__Lachnospiraceae bacterium AC2012	1	1.000
s__Candidatus Nomurabacteria bacterium RIFOXYD1_FULL_39_12	1	1.000
s__halophilic archaeon J07HX5	1	1.000
s__Bacteroidetes bacterium GWA2_30_7	1	1.000
s__Brevibacterium ravenspurgense	1	1.000
s__Moraxella catarrhalis	44	0.978
s__Desulfotignum balticum	1	1.000
s__Coprobacter secundus	1	1.000
s__Clostridium beijerinckii	1	1.000
s__Staphylococcus capitis	2	1.000
s__Bacillus dafuensis	1	1.000
s__Candidatus Peribacteria bacterium RIFCSPHIGHO2_01_FULL_51_9	1	1.000
s__Chryseobacterium sp. YR485	1	1.000
s__Candidatus Lambdaproteobacteria bacterium RIFOXYD12_FULL_49_8	1	1.000
s__Candidatus Shapirobacteria bacterium RIFOXYD1_FULL_38_32	1	1.000
s__Eggerthella sp. YY7918	1	1.000
s__Capnocytophaga sp. CM59	1	1.000
s__Paludibacter sp. 47-17	1	1.000
s__Clostridia bacterium DTU030	1	1.000
s__Tatumella morbirosei	1	1.000
s__Thioflavicoccus mobilis	1	1.000
s__Serratia fonticola	1	1.000
s__Barnesiella viscericola	1	1.000
s__Alishewanella agri	1	1.000
s__Croceitalea dokdonensis	1	1.000
s__Clostridiales bacterium DTU074	1	1.000
s__Saccharomonospora piscinae	1	1.000
s__Thiolapillus brandeum	1	1.000
s__Streptomyces acidiscabies	1	1.000
s__Thermoactinomyces vulgaris	1	1.000
s__Acholeplasmatales bacterium DTU056	1	1.000
s__Oribacterium sp. P6A1	1	1.000
s__Oxalobacteraceae bacterium IMCC9480	1	1.000
s__Owenweeksia hongkongensis	1	1.000
s__Methylobacterium sp. Leaf89	1	1.000
s__Leptotrichia buccalis	1	1.000
s__Caldicellulosiruptor obsidiansis	1	1.000
s__Candidatus Woesebacteria bacterium GWB1_37_5	1	1.000
s__Paenibacillus sp. 453mf	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_01_FULL_45_23	1	1.000
s__Nanohaloarchaea archaeon PL-Br10_U2g5	1	1.000
s__Ferrimonas balearica	1	1.000
s__Sediminibacter sp. Hel_I_10	1	1.000
s__Firmicutes bacterium CAG:137	1	1.000
s__Marinosulfonomonas sp. PRT-SC04	1	1.000
s__Alistipes timonensis	1	1.000
s__Sporosarcina koreensis	1	1.000
s__Gardnerella vaginalis	5	1.000
s__Candidatus Yanofskybacteria bacterium RIFCSPLOWO2_01_FULL_49_25	1	1.000
s__Staphylococcus lugdunensis	1	1.000
s__Fructilactobacillus fructivorans	1	1.000
s__Thauera humireducens	1	1.000
s__Magnetospira sp. QH-2	1	1.000
s__Halopelagius longus	1	1.000
s__Oceanibaculum indicum	1	1.000
s__Nocardia arizonensis	1	1.000
s__Nocardioides sp. JS614	1	1.000
s__Firmicutes bacterium CAG:83	1	1.000
s__Planctomycetes bacterium RBG_13_50_24	1	1.000
s__Alistipes sp. Zagget8	1	1.000
s__Halobellus rufus	1	1.000
s__Kitasatospora sp. Root187	1	1.000
s__Candidatus Beckwithbacteria bacterium RIFCSPHIGHO2_12_FULL_49_13	1	1.000
s__Blautia schinkii	1	1.000
s__Marinobacter psychrophilus	1	1.000
s__Pseudoalteromonas undina	1	1.000
s__Candidatus Gottesmanbacteria bacterium CG1_02_37_22	1	1.000
s__Paracoccus sanguinis	1	1.000
s__Mycobacterium genavense	1	1.000
s__Eubacterium sp. CAG:115	1	1.000
s__Erythrobacter cryptus	1	1.000
s__Elusimicrobia bacterium GWC2_61_19	1	1.000
s__Halomonas stevensii	1	1.000
s__Sulfurimonas denitrificans	1	1.000
s__Agrobacterium rhizogenes	3	0.750
s__Candidatus Kaiserbacteria bacterium RIFCSPHIGHO2_01_FULL_48_10	1	1.000
s__Fibrobacter sp. UWCM	1	1.000
s__Aerococcus urinae	3	0.750
s__Deltaproteobacteria bacterium GWB2_42_7	1	1.000
s__Kytococcus sedentarius	1	1.000
s__Legionella jamestowniensis	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_02_FULL_45_11b	1	1.000
s__Clostridium sp. CAG:122	1	1.000
s__Clostridium sp. CAG:127	1	1.000
s__Sphingobacteriales bacterium 40-81	1	1.000
s__Croceicoccus naphthovorans	1	1.000
s__Ligilactobacillus animalis	1	1.000
s__Pleurocapsa sp. PCC 7327	1	1.000
s__Saccharomonospora iraqiensis	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_12_FULL_34_7	1	1.000
s__Polaribacter sp. BACL8 MAG-120619-bin41	1	1.000
s__Eubacterium sp. CAG:581	1	1.000
s__Desulfonatronum thiodismutans	1	1.000
s__Deltaproteobacteria bacterium RIFCSPLOWO2_01_44_7	1	1.000
s__Lactobacillus acidophilus	2	1.000
s__Chryseobacterium sp. Leaf180	1	1.000
s__SAR92 bacterium BACL16 MAG-120322-bin99	1	1.000
s__Candidatus Edwardsbacteria bacterium RIFOXYD12_FULL_50_11	1	1.000
s__Synechococcus sp. WH 7805	1	1.000
s__Rouxiella chamberiensis	1	1.000
s__Synechococcus sp. WH 7803	1	1.000
s__Gammaproteobacteria bacterium REDSEA-S21_B8	1	1.000
s__Orientia tsutsugamushi	8	1.000
s__Acidihalobacter prosperus	1	1.000
s__Dendrosporobacter quercicolus	1	1.000
s__Thermoanaerobacterales bacterium JdFR-68	1	1.000
s__Porphyromonas levii	1	1.000
s__Natrialbaceae archaeon Tc-Br11_E2g28	1	1.000
s__Angustibacter sp. Root456	1	1.000
s__Candidatus Beckwithbacteria bacterium GW2011_GWC1_49_16	1	1.000
s__Nitrospirillum amazonense	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPHIGHO2_01_FULL_35_10	1	1.000
s__Histophilus somni	1	1.000
s__Kluyvera cryocrescens	1	1.000
s__Methanosarcina sp. WWM596	1	1.000
s__Marinobacterium jannaschii	1	1.000
s__Marinobacter similis	1	1.000
s__Firmicutes bacterium CAG:137_57_8	1	1.000
s__alpha proteobacterium AAP38	1	1.000
s__Nitrospira sp. SCN 59-13	1	1.000
s__Sulfuricurvum sp. RIFOXYD12_FULL_44_77	1	1.000
s__Desulfotalea psychrophila	1	1.000
s__Desulfuromonadales bacterium C00003107	1	1.000
s__Tractidigestivibacter scatoligenes	1	1.000
s__Candidatus Doudnabacteria bacterium RIFCSPLOWO2_01_FULL_48_57	1	1.000
s__Candidatus Daviesbacteria bacterium GW2011_GWA2_42_7	1	1.000
s__Candidatus Amesbacteria bacterium RIFOXYD1_FULL_47_9	1	1.000
s__Aeromonas schubertii	1	1.000
s__Novosphingobium sp. AAP93	1	1.000
s__Scardovia inopinata	1	1.000
s__Methanosarcina horonobensis	1	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWF2_42_51	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFOXYD1_FULL_41_24	1	1.000
s__Sphingobium sp. Leaf26	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFCSPLOWO2_02_FULL_40_13	1	1.000
s__Leisingera daeponensis	1	1.000
s__Candidatus Harrisonbacteria bacterium RIFOXYD1_FULL_40_9	1	1.000
s__Pelagibacteraceae bacterium GOM-A4	1	1.000
s__candidate division Zixibacteria bacterium RBG_16_50_21	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPLOWO2_01_FULL_43_160	1	1.000
s__Thiobacillus thioparus	1	1.000
s__Candidatus Peribacteria bacterium RIFCSPHIGHO2_02_FULL_55_24	1	1.000
s__Sphaerochaeta sp. Phil3	1	1.000
s__Cloacibacterium normanense	1	1.000
s__Hyphomicrobium sp. MC1	1	1.000
s__Thermoproteus sp. CIS_19	1	1.000
s__Paenibacillus gorillae	1	1.000
s__Mycolicibacter arupensis	1	1.000
s__Deltaproteobacteria bacterium GWD2_42_10	1	1.000
s__Smithella sp. SCADC	1	1.000
s__Prevotella denticola	1	1.000
s__Thermomonospora curvata	1	1.000
s__Ruminobacter amylophilus	1	1.000
s__Tenericutes bacterium RIFOXYA12_FULL_35_10	1	1.000
s__Mucilaginibacter lappiensis	1	1.000
s__Rathayibacter sp. Leaf185	1	1.000
s__Deferribacteres bacterium JdFR-76	1	1.000
s__Allochromatium vinosum	1	1.000
s__Neisseria cinerea	1	1.000
s__Arthrobacter sp. Hiyo1	1	1.000
s__Chryseobacterium sp. JAH	1	1.000
s__[Ruminococcus] torques CAG:61	1	1.000
s__Arthrobacter sp. H5	1	1.000
s__Brevibacillus choshinensis	1	1.000
s__Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_20	1	1.000
s__Firmicutes bacterium CAG:176_59_8	1	1.000
s__Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_41_25	1	1.000
s__Acidithiobacillus ferrivorans	2	1.000
s__Agathobaculum desmolans	1	1.000
s__Streptomyces sp. NRRL F-5053	1	1.000
s__Candidatus Terrybacteria bacterium RIFCSPHIGHO2_01_FULL_48_17	1	1.000
s__Bacteroides ovatus	1	1.000
s__Marinimicrobia bacterium SCGC AB-629-J13	1	1.000
s__Exiguobacterium aurantiacum	2	0.667
s__Wolbachia endosymbiont of Onchocerca ochengi	1	1.000
s__Paraliobacillus sp. PM-2	1	1.000
s__Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_46_30	1	1.000
s__Dietzia alimentaria	1	1.000
s__Candidatus Collierbacteria bacterium GW2011_GWA2_46_26	1	1.000
s__Carnobacterium funditum	1	1.000
s__Paraoerskovia marina	1	1.000
s__Paraclostridium bifermentans	1	1.000
s__Candidatus Curtissbacteria bacterium RIFOXYB12_FULL_40_6	1	1.000
s__Jiulongibacter sediminis	1	1.000
s__Firmicutes bacterium CAG:631	1	1.000
s__Peptostreptococcus anaerobius CAG:621	1	1.000
s__Porphyrobacter sp. AAP82	1	1.000
s__Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_44_24	1	1.000
s__Candidatus Gottesmanbacteria bacterium RBG_16_43_7	1	1.000
s__Saccharopolyspora erythraea	1	1.000
s__Onion yellows phytoplasma	1	1.000
s__Pseudonocardia sp. EC080619-01	1	1.000
s__Nesterenkonia massiliensis	1	1.000
s__Candidatus Roizmanbacteria bacterium GW2011_GWA1_41_13	1	1.000
s__Shimia marina	1	1.000
s__Thermoproteus sp. AZ2	1	1.000
s__Candidatus Ryanbacteria bacterium RIFCSPHIGHO2_02_FULL_45_13b	1	1.000
s__Alkalihalobacillus halodurans	1	1.000
s__Limosilactobacillus pontis	1	1.000
s__Dyella jiangningensis	1	1.000
s__Ochrobactrum sp. CDB2	1	1.000
s__Sulfurimonas hongkongensis	1	1.000
s__Kurthia huakuii	1	1.000
s__Methanococcus vannielii	1	1.000
s__Treponema succinifaciens	1	1.000
s__Nitrosospira sp. Nsp14	1	1.000
s__Ktedonobacter sp. 13_1_20CM_3_54_15	1	1.000
s__Nitrosospira sp. Nsp18	1	1.000
s__Moraxellaceae bacterium REDSEA-S38_B3	1	1.000
s__Saccharomonospora viridis	1	1.000
s__Lachnospiraceae bacterium G41	1	1.000
s__Candidatus Wolfebacteria bacterium GW2011_GWE2_47_12	1	1.000
s__Anaerosporobacter mobilis	1	1.000
s__Paenibacillus pinihumi	1	1.000
s__Geobacter uraniireducens	1	1.000
s__Methanosarcina sp. Kolksee	1	1.000
s__Alistipes indistinctus	1	1.000
s__Paenibacillus sp. 276b	1	1.000
s__Corynebacterium humireducens	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPLOWO2_01_FULL_43_20b	1	1.000
s__Candidatus Peribacteria bacterium RIFOXYB1_FULL_54_35	1	1.000
s__Candidatus Heimdallarchaeota archaeon LC_3	1	1.000
s__Candidatus Heimdallarchaeota archaeon LC_2	1	1.000
s__Methylobacillus glycogenes	1	1.000
s__Berkelbacteria bacterium GW2011_GWA2_35_9	1	1.000
s__Sporosarcina ureae	1	1.000
s__Chlamydia pecorum	11	1.000
s__Candidatus Peribacteria bacterium RIFOXYB1_FULL_57_12	1	1.000
s__Pseudorhodobacter aquimaris	1	1.000
s__Marinimicrobium sp. LS-A18	1	1.000
s__Beggiatoa leptomitoformis	1	1.000
s__Candidatus Uhrbacteria bacterium GW2011_GWB2_41_36	1	1.000
s__Cellulosilyticum lentocellum	1	1.000
s__Hymenobacter aerophilus	1	1.000
s__'Candidatus Kapabacteria' thiocyanatum	1	1.000
s__Alkalihalobacillus clausii	2	0.667
s__Lentilactobacillus farraginis	1	1.000
s__Candidatus Amesbacteria bacterium GW2011_GWC1_46_24	1	1.000
s__Halothiobacillus sp. XI15	1	1.000
s__Deltaproteobacteria bacterium 13_1_40CM_4_54_4	1	1.000
s__Pedobacter ginsenosidimutans	1	1.000
s__Thiomonas sp. FB-Cd	1	1.000
s__Sphingobacterium sp. HMSC13C05	1	1.000
s__Streptomyces turgidiscabies	1	1.000
s__Paraburkholderia kururiensis	1	1.000
s__Crocosphaera subtropica	2	1.000
s__Desulfotomaculum nigrificans	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPHIGHO2_02_FULL_45_28	1	1.000
s__Spirochaetes bacterium GWF1_41_5	1	1.000
s__Desulfitobacterium hafniense	3	1.000
s__Mangrovimonas yunxiaonensis	1	1.000
s__Rubinisphaera brasiliensis	1	1.000
s__Hyphomicrobium sp. 99	1	1.000
s__Draconibacterium orientale	2	1.000
s__Carnimonas nigrificans	1	1.000
s__Pseudoalteromonas sp. P1-26	1	1.000
s__Aurantiacibacter atlanticus	1	1.000
s__Mycolicibacterium thermoresistibile	1	1.000
s__Pontibacillus chungwhensis	1	1.000
s__Sutterella sp. CAG:521	1	1.000
s__Candidatus Woesebacteria bacterium RIFCSPHIGHO2_01_FULL_44_10	1	1.000
s__Sphingobacterium sp. CZ-UAM	1	1.000
s__Candidatus Roizmanbacteria bacterium RIFOXYB2_FULL_38_10	1	1.000
s__Lachnospira eligens	1	1.000
s__gamma proteobacterium BDW918	1	1.000
s__Desulfobulbaceae bacterium S3730MH12	1	1.000
s__Hyphomonas jannaschiana	1	1.000
s__Candidatus Collierbacteria bacterium RIFCSPHIGHO2_01_FULL_50_25	1	1.000
s__Enterococcus massiliensis	1	1.000
s__Idiomarina sp. T82-3	1	1.000
s__Campylobacter fetus	1	1.000
s__Virgibacillus soli	1	1.000
s__Xenorhabdus bovienii	1	1.000
s__Thermoclostridium stercorarium	1	1.000
s__Streptomyces niveus	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_44_9	1	1.000
s__Fulvivirga imtechensis	1	1.000
s__Clostridium novyi	1	1.000
s__Nitrospirae bacterium SPGG5	1	1.000
s__Marine Group I thaumarchaeote SCGC AB-629-I23	1	1.000
s__Porphyromonas somerae	2	0.500
s__Anaerocolumna aminovalerica	1	1.000
s__Bifidobacterium saguini	1	1.000
s__Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_50_16	1	1.000
s__Alkaliphilus transvaalensis	1	1.000
s__Anaerotruncus sp. CAG:390	1	1.000
s__Salisediminibacterium haloalkalitolerans	1	1.000
s__Neobacillus vireti	1	1.000
s__Steroidobacter denitrificans	1	1.000
s__Weissella ceti	4	1.000
s__Staphylococcus cohnii	1	1.000
s__Ferrithrix thermotolerans	1	1.000
s__Alistipes sp. CAG:514	1	1.000
s__Candidatus Komeilibacteria bacterium RIFCSPLOWO2_01_FULL_52_15	1	1.000
s__Methanococcoides vulcani	1	1.000
s__Nocardiopsis alkaliphila	1	1.000
s__Prevotella sp. tc2-28	1	1.000
s__Nocardia brasiliensis	1	1.000
s__Chryseobacterium sp. YR460	1	1.000
s__Paenibacillus alvei	1	1.000
s__Pseudomonadales bacterium RIFCSPHIGHO2_12_FULL_40_16	1	1.000
s__Bifidobacterium aesculapii	1	1.000
s__Bradyrhizobium genosp. SA-4	1	1.000
s__Natrialba magadii	1	1.000
s__Collinsella tanakaei	1	1.000
s__Alkaliphilus peptidifermentans	1	1.000
s__Enhydrobacter aerosaccus	1	1.000
s__Chitiniphilus shinanonensis	1	1.000
s__Gloeobacter kilaueensis	1	1.000
s__Solitalea canadensis	1	1.000
s__Clostridium celatum	1	1.000
s__Spirillospora albida	1	1.000
s__Gemmobacter nectariphilus	1	1.000
s__Acinetobacter sp. BMW17	1	1.000
s__Prochlorococcus sp. scB245a_519B7	1	1.000
s__Candidatus Zambryskibacteria bacterium RIFCSPLOWO2_01_FULL_52_12	1	1.000
s__Cycloclasticus sp. Phe_18	1	1.000
s__Candidatus Chisholmbacteria bacterium RIFCSPLOWO2_01_FULL_49_14	1	1.000
s__Stenotrophomonas acidaminiphila	1	1.000
s__Tenuibacillus multivorans	1	1.000
s__Actinobaculum sp. oral taxon 183	1	1.000
s__Lachnospiraceae bacterium 28-4	1	1.000
s__Halomonas smyrnensis	1	1.000
s__Gulosibacter molinativorax	1	1.000
s__Slackia piriformis	1	1.000
s__Carboxydothermus hydrogenoformans	1	1.000
s__Paenibacillus fonticola	1	1.000
s__Halogeometricum pallidum	1	1.000
s__Paracoccus zeaxanthinifaciens	1	1.000
s__Candidatus Uhrbacteria bacterium RIFCSPHIGHO2_01_FULL_46_23	1	1.000
s__Gordonia terrae	1	1.000
s__Candidatus Woesebacteria bacterium RIFOXYD1_FULL_33_11	1	1.000
s__Spirochaetes bacterium RIFOXYC1_FULL_54_7	1	1.000
s__Helicobacter mustelae	1	1.000
s__Idiomarina baltica	1	1.000
s__Streptomyces vitaminophilus	1	1.000
s__Paenibacillus darwinianus	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFOXYB1_FULL_46_14	1	1.000
s__Deinococcus actinosclerus	1	1.000
s__Lacticaseibacillus pantheris	3	1.000
s__Acetobacter aceti	1	1.000
s__Desulfovibrio fairfieldensis	1	1.000
s__Candidatus Zambryskibacteria bacterium RIFCSPHIGHO2_01_FULL_43_60	1	1.000
s__Clostridium disporicum	1	1.000
s__Acetomicrobium mobile	1	1.000
s__Bacteroides sp. CAG:1076	1	1.000
s__Bacteroidales bacterium 45-6	1	1.000
s__Chitinophaga jiangningensis	1	1.000
s__Chlamydia pneumoniae	13	1.000
s__Mycobacterium leprae	1	1.000
s__Brevibacterium aurantiacum	1	1.000
s__Rippkaea orientalis	1	1.000
s__Streptomyces varsoviensis	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPHIGHO2_12_FULL_44_29	1	1.000
s__Tuberibacillus calidus	1	1.000
s__Neptunomonas phycophila	2	1.000
s__Gloeothece citriformis	1	1.000
s__Methanosarcina sp. 795	1	1.000
s__Candidatus Magasanikbacteria bacterium RIFCSPHIGHO2_01_FULL_41_23	1	1.000
s__Chloroflexi bacterium RBG_16_52_11	1	1.000
s__Thermococcus guaymasensis	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_01_FULL_45_59	1	1.000
s__Chloroflexus sp. Y-396-1	1	1.000
s__Eubacterium sp. ER2	1	1.000
s__Streptomyces seoulensis	1	1.000
s__Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_02_FULL_51_13	1	1.000
s__Pedobacter arcticus	1	1.000
s__Omnitrophica WOR_2 bacterium GWA2_47_8	1	1.000
s__Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_49_25	1	1.000
s__Vulgatibacter incomptus	1	1.000
s__Thermosphaera aggregans	1	1.000
s__Rothia mucilaginosa	1	1.000
s__Clostridium neonatale	1	1.000
s__Methylocucumis oryzae	1	1.000
s__Microbacterium oleivorans	1	1.000
s__Chloroflexi bacterium GWB2_54_36	1	1.000
s__Bergeriella denitrificans	1	1.000
s__Flavobacteriales bacterium ALC-1	1	1.000
s__Chloroflexi bacterium 13_1_40CM_55_7	1	1.000
s__Candidatus Taylorbacteria bacterium RIFCSPLOWO2_12_FULL_48_11	1	1.000
s__Leptolyngbya sp. KIOST-1	1	1.000
s__Candidatus Roizmanbacteria bacterium GW2011_GWB1_40_7	1	1.000
s__Ehrlichia minasensis	1	1.000
s__Candidatus Lloydbacteria bacterium RIFCSPHIGHO2_01_FULL_49_22	1	1.000
s__Candidatus Amesbacteria bacterium GW2011_GWA2_47_11	1	1.000
s__Chloroflexi bacterium RBG_16_47_49	1	1.000
s__Halarsenatibacter silvermanii	1	1.000
s__Candidatus Desulfofervidus auxilii	1	1.000
s__Clostridium tetani	1	1.000
s__Prochlorococcus sp. scB241_529J16	1	1.000
s__Mycobacterium sp. UM_Kg1	1	1.000
s__Methanothermococcus okinawensis	1	1.000
s__Gammaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_43	1	1.000
s__Bariatricus massiliensis	1	1.000
s__Brevibacillus reuszeri	1	1.000
s__Azospirillum lipoferum	1	1.000
s__Moorella mulderi	1	1.000
s__Candidatus Nomurabacteria bacterium GW2011_GWA2_41_25	1	1.000
s__Photobacterium damselae	1	1.000
s__Methanosarcina thermophila	2	0.500
s__Aphanizomenon flos-aquae	1	1.000
s__Dialister micraerophilus	1	1.000
s__Cupriavidus basilensis	1	1.000
s__Lachnoclostridium phytofermentans	1	1.000
s__Marinospirillum insulare	1	1.000
s__Spiribacter salinus	1	1.000
s__Acidocella facilis	1	1.000
s__Dehalococcoidia bacterium DG_18	1	1.000
s__Nostoc punctiforme	1	1.000
s__methanogenic archaeon ISO4-H5	1	1.000
s__Victivallales bacterium Lenti_02	1	1.000
s__Pseudovibrio sp. Tun.PSC04-5.I4	1	1.000
s__Brevundimonas sp. Leaf363	1	1.000
s__Paenibacillus ginsengihumi	1	1.000
s__Corynebacterium uterequi	1	1.000
s__Actinokineospora enzanensis	1	1.000
s__Polaribacter dokdonensis	1	1.000
s__Candidatus Giovannonibacteria bacterium GW2011_GWA1_44_29	1	1.000
s__Candidatus Giovannonibacteria bacterium GW2011_GWA1_44_25	1	1.000
s__Mastigocladus laminosus	1	1.000
s__Sphingobium herbicidovorans	2	1.000
s__Chelativorans sp. BNC1	1	1.000
s__Thaumarchaeota archaeon RBG_16_49_8	1	1.000
s__Candidatus Giovannonibacteria bacterium RIFCSPLOWO2_02_FULL_43_11b	1	1.000
s__Azorhizobium caulinodans	1	1.000
s__Candidatus Andersenbacteria bacterium RIFCSPHIGHO2_12_FULL_46_9	1	1.000
s__Mycolicibacterium chubuense	1	1.000
s__Suttonella ornithocola	1	1.000
s__Dorea longicatena	1	1.000
s__Deltaproteobacteria bacterium GWB2_55_19	1	1.000
s__Methylocaldum szegediense	1	1.000
s__Mesoflavibacter zeaxanthinifaciens	1	1.000
s__Caldicellulosiruptor saccharolyticus	1	1.000
