	kingdom	phylum	class	order	family	genus	species
N924							
N925							
N926							
N927							
N928						Candidatus Frackibacter	
N929						Halanaerobium	
N930							
N931				Veillonellales	Veillonellaceae		
N932							
N933			Clostridia_9				
N934							
N935							
N936							
N937							
N938							
N939							
N940							
N941							
N942							
N943							
N944							
N945							
N946							Borreliella burgdorferi
N947							
N948						Sphaerochaeta	
N949						Spirochaeta	Spirochaeta thermophila
N950							
N951							
N952						Treponema	
N953							
N954							
N955							
N956							
N957							
N959							
N960							
N961							
N962							
N963		Chrysiogenetes	Chrysiogenetes	Chrysiogenales	Chrysiogenaceae		
N964		Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae		
N965							
N966		Proteobacteria_2					
N967							
N968							
N969							
N970			Alphaproteobacteria				
N971							
N972							
N973							
N974							
N976						Nitrosarchaeum	
N977						Nitrosopumilus	
N978							
N979							
N980							
N981						Caldivirga	
N982							
N984							
N985						Sulfolobus_1	
N986							Methanococcus maripaludis
N987							
N988							
N989							
N990							
N992							Acidiplasma aeolicum
N993							
N994							
N995						Haloferax	
N996							
N997						Halolamina	
N998							
N999							
N1000							
N1001							
N1002							
N1003							
N1004							
N1005							
N1006							
N1007							Archaeoglobus fulgidus
N1008							
N1009						Methanoregula	
N1010							
N1011							
N1012							
N1013							
N1014							
N1015							
N1016						Methanosarcina	
N1017							
N1018							
N1019							
N1020							
N1021							
N1022							
N1023							
N1024							
N1026							
N1027							
N1028							
N1029							
N1030							
N1031							
N1033							
N1034							
N1035							
N1036							
N1037							
N1038							
N1039							
N1040		Candidatus Chisholmbacteria					
N1041							
N1042							
N1043		Candidatus Collierbacteria					
N1044							
N1045		Candidatus Amesbacteria					
N1046		Candidatus Blackburnbacteria					
N1047		Candidatus Woesebacteria					
N1048							
N1049							
N1050				Candidatus Peribacterales			
N1051							
N1052							
N1053							
N1054							
N1055							
N1056							
N1057		Candidatus Kuenenbacteria					
N1058		Candidatus Veblenbacteria					
N1059		Candidatus Komeilibacteria					
N1060							
N1061		Candidatus Falkowbacteria					
N1062							
N1063							
N1064							
N1065							
N1066							
N1067							
N1068							
N1069							
N1070							
N1071							
N1072							
N1073							
N1074							
N1075							
N1076							
N1077							
N1078							
N1079							
N1080							
N1081							
N1082							
N1083						Thermanaerovibrio	
N1084						Cloacibacillus	
N1086							
N1087							
N1088				Candidatus Gastranaerophilales			
N1089							
N1090							
N1091							
N1092						Prochlorococcus	
N1093							
N1094				Synechococcales_3	Synechococcaceae_2	Synechococcus_2	
N1095							
N1096							
N1097		Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	
N1099							
N1101							
N1102							
N1103							
N1104							
N1105							
N1106							
N1107							
N1108			Thermoleophilia	Solirubrobacterales_1	Conexibacteraceae	Conexibacter	Conexibacter woesei
N1110							
N1111							
N1112							
N1113							
N1114							
N1115							
N1116				Acidaminococcales	Acidaminococcaceae		
N1117				Selenomonadales			
N1118				Thermosediminibacterales			
N1119			Clostridia_5	Thermoanaerobacterales_1			
N1120							
N1121							
N1122		Firmicutes_7	Bacilli_3	Bacillales_5			
N1123							
N1124							
N1125							
N1126							
N1127							
N1128							
N1129							
N1130							Borreliella garinii
N1131							
N1132							
N1133							
N1134							
N1135							
N1136							
N1137							
N1138							
N1139							
N1140							
N1141							
N1142		Candidatus Sumerlaeota					
N1143		Candidatus Poribacteria					
N1144		Candidatus Hydrogenedentes					
N1145							
N1146							
N1148							
N1149							
N1150							
N1151							
N1153			Deltaproteobacteria_6	Desulfurellales	Desulfurellaceae		
N1154			Epsilonproteobacteria				
N1155							
N1156							
N1157							
N1158		Acidobacteria					
N1159		Proteobacteria_4					
N1160							
N1161							
N1162			Zetaproteobacteria				
N1163							
N1164							
N1166							Candidatus Nitrosarchaeum limnium
N1167							
N1169							
N1170							
N1171							
N1172							
N1173							
N1174							
N1175				Desulfurococcales_1	Desulfurococcaceae_1		
N1176							
N1177							
N1179							Sulfolobus acidocaldarius
N1180							
N1181							
N1182							Methanobrevibacter smithii
N1183							
N1184							
N1185							
N1186							
N1187							
N1188							
N1189							
N1190							
N1191							
N1192							
N1193							
N1194							
N1195						Halorhabdus	
N1196							
N1197							
N1198							
N1199							
N1200							
N1201							
N1202						Methanolacinia	
N1203							
N1204							
N1205							
N1206							
N1207							
N1208							
N1209							
N1210							
N1211							
N1212							
