taxid	length	width	volume	surface	class	phylum	superkingdom
768503	2.5609480522712165	0.5874405036180579	0.629370338443358	4.726226482005185	Cytophagia	Bacteroidetes	Bacteria
795747	4.723156822715971	0.2719393264843193	0.26768467331013107	4.03509957120083	Ignavibacteria	Ignavibacteriae	Bacteria
908620	1.641633530292823	0.475414303570666	0.25286717690356775	2.4518750293284466	Nitriliruptoria	Actinobacteria	Bacteria
909932	2.0490370721295443	0.6019580218072609	0.48493439053291887	3.874948143573093	Negativicutes	Firmicutes	Bacteria
1077257	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Chthonomonadetes	Armatimonadetes	Bacteria
1313207	1.0	1.0	0.5235987755982988	3.1415926535897927	Oligosphaeria	Lentisphaerae	Bacteria
1313211	0.8	0.8	0.26808257310632905	2.010619298297468	Lentisphaeria	Lentisphaerae	Bacteria
1495646	4.0	0.3	0.2756747553525044	3.769911184307752	Thermoflexia	Chloroflexi	Bacteria
1497346	1.2239044681850935	0.5352382817656428	0.23396316899531755	2.0579961635826853	Thermoleophilia	Actinobacteria	Bacteria
1553900	1.8493242008906927	0.5477225575051662	0.38452439575899466	3.18217128946851	Oligoflexia	Proteobacteria	Bacteria
1562566	2.4459875888944125	0.6915457968880453	0.8153671381430487	5.314043043462315	Blastocatellia	Acidobacteria	Bacteria
1737404	3.797162516886913	0.7615701165500472	1.5690689211425688	9.084874916122843	Tissierellia	Firmicutes	Bacteria
1804991	4.415880433163924	0.5656854249492381	1.06244105089634	7.84769593338055	Longimicrobia	Gemmatimonadetes	Bacteria
1807140	1.3643500455889714	1.0298835719535588	0.8352306945089237	4.414320004923944	Acidithiobacillia	Proteobacteria	Bacteria
1813735	1.3453521380961204	0.6593491505914626	0.3825456394021453	2.786771093210415	Vicinamibacteria	Acidobacteria	Bacteria
1853221	2.75039525083473	0.3647520251607473	0.26762481997403953	3.1516841960579867	Balneolia	Balneolaeota	Bacteria
1853222	8.563390382741252	0.5544265176609817	1.9932551819121036	14.915561581186438	Rhodothermia	Rhodothermaeota	Bacteria
1853228	2.2987659968352987	0.5218141023037286	0.4402251391049432	3.7684299706366793	Chitinophagia	Bacteroidetes	Bacteria
1937959	2.4832670271478183	0.6121682952562003	0.6606385247120354	4.775777971901473	Saprospiria	Bacteroidetes	Bacteria
1962850	6.92820323027551	0.2449489742783178	0.3226362360716736	5.33145952579004	Calditrichia	Calditrichaeota	Bacteria
2008785	2.280350850198276	0.3741657386773941	0.23699366986663353	2.680498461852394	Hydrogenophilalia	Proteobacteria	Bacteria
2811502	3.350368958834508	0.34641016151377546	0.3043242053006995	3.6461382524904526	Thermodesulfovibrionia	Nitrospirae	Bacteria
