	name	ori	ogt	d	sptid	name_alt	taxID_rank
192	Thermoanaerobacter tengcongensis	1697	75	1.1	119072	Caldanaerobacter subterraneus subsp. tengcongensis	subspecies
193	Thermus thermophilus HB27	1524341	75	2.5	274	Thermus thermophilus	species
194	Thermoplasma volcanium	-1	60	2.5	50339		species
195	Treponema denticola ATCC35405	265084	37	5.0	158	Treponema denticola	species
196	Trichodesmium erythraeum	2409	28	25.0	1206		species
197	Treponema pallidum	1399	37	33.0	160		species
198	Tropheryma whipplei Twist	1438	37	28.0	2039	Tropheryma whipplei	species
199	Ureaplasma urealyticum	42000	37	0.9	2130		species
200	Vibrio cholerae	2961047	37	0.2	666		species
201	Vibrio fischeri ES114	2906069	30	0.3	668	Aliivibrio fischeri	species
202	Vibrio parahaemolyticus	3288455	25	0.2	670		species
203	Vibrio vulnificus CMCP6 chr1	1012335	25	0.16	672	Vibrio vulnificus	species
204	Wigglesworthia glossinidia brevipalpis	697376	-1	36.0	51229	Wigglesworthia glossinidia	species
205	Wolbachia endosymbiont TRS Brugia malayi	1079740	-1	14.0	80849	"Wolbachia endosymbiont of Culex torrentium
Wolbachia endosymbiont of Pleistodontes sp.
Wolbachia endosymbiont of Ceratosolen sp.
Wolbachia endosymbiont of Coquillettidia ochracea
Wolbachia endosymbiont of Erebia pronoe
Wolbachia endosymbiont of Aporia crataegi
Wolbachia endosymbiont of Spodoptera frugiperda
Wolbachia endosymbiont of Scaptodrosophila claytoni
Wolbachia endosymbiont of Tamarixia radiata
Wolbachia endosymbiont of Bactericera albiventris
Wolbachia endosymbiont of Telmapsylla minuta
Wolbachia endosymbiont of Prumna litoralis
Wolbachia endosymbiont of Stauroderus scalaris
Wolbachia endosymbiont of Pseudochorthippus parallelus
Wolbachia endosymbiont of Pseudochorthippus montanus
Wolbachia endosymbiont of Prumna ussuriensis
Wolbachia endosymbiont of Prumna primnoa
Wolbachia endosymbiont of Podismopsis genicularis
Wolbachia endosymbiont of Podismopsis altaica
Wolbachia endosymbiont of Podisma pedestris"	species
206	Wolinella succinogenes	2110228	37	1.0	844		species
207	Xanthomonas axonopodis	1371	27	7.0	53413		species
208	Xanthomonas campestris	1371	37	3.0	339		species
209	Xanthomonas oryzae oryzae KACC10331	1374	28	2.0	347	Xanthomonas oryzae	species
210	Xylella fastidiosa 9a5c	1463	28	5.13	2371	Xylella fastidiosa	species
211	Yersinia pestis CO92	4653618	37	1.25	632	Yersinia pestis	species
212	Yersinia pseudotuberculosis	4744561	37	0.5	633		species
213	Zymomonas mobilis	2055615	27	2.0	542		species
